week,babyDevelopment,pregnancySymptoms,pregnancyChecklist,images
12,"This week, your baby has developed the ability to open and close their hands and curl their toes, and has begun growing tiny fingernails on their fingers and toes. The baby's digestive system is also developing, with the intestines initially growing into the umbilical cord but soon to retract into the abdomen as the abdominal wall closes. The baby is the size of a lime.","Pregnancy Stress - Feeling some stress during pregnancy is normal, but chronic stress can lead to depression or anxiety, so it's important to discuss overwhelming stress with a healthcare provider.;Headaches - Common around 12 weeks, headaches may be mitigated by frequent small meals, hydration, sleep, exercise, relaxation techniques, and prenatal massage. Acetaminophen is considered safe, but always consult a healthcare provider before taking any medication during pregnancy.;Food Aversions - Often caused by hormonal changes and a heightened sense of smell, affecting around 60% of pregnant women. Strategies include eating bland or cold foods and having someone else cook to avoid triggering smells.;Fatigue - Experienced by 95% of pregnant women, especially in the first and third trimesters. Gentle exercise can help maintain energy levels, but persistent fatigue should be discussed with a healthcare provider as it may indicate iron-deficiency anemia or depression.;Dizziness -Caused by cardiovascular changes during pregnancy. To combat dizziness, lie on your side or sit with your head between your knees to improve blood flow.;Shortness of Breath - A common symptom due to increased oxygen needs and lung capacity expansion. Normal to an extent, but severe symptoms, especially with existing respiratory issues, require immediate medical attention.","Make a Baby Budget - Discuss with your partner how to manage expenses such as clothes, diapers, and childcare, and identify areas to cut spending for savings.;Start a Pregnancy Workout - Engage in 20-30 minutes of moderate exercise most days, as recommended, to prepare your body for pregnancy and childbirth.;Stay Hydrated -  Aim for about ten 8-ounce cups of water daily to prevent pregnancy-related health issues, adjusting intake based on activity and weather.;Keep a Journal - Document your pregnancy experience to enhance emotional well-being and create a cherished keepsake.;Do Your Kegels - Regular pelvic floor exercises can ease post-birth recovery, prevent incontinence, and improve sexual enjoyment.;Get Vaccinated - The flu shot and COVID-19 vaccine are recommended to protect against severe infection and pass antibodies to your baby.", "https://assets.babycenter.com/ims/2018/06/pregnancy-week-12-eyelids_square.png;https://assets.babycenter.com/ims/2020/12/12-weeks-pregnant-recolored-app.png"
13,"Your baby has begun the process of swallowing amniotic fluid and excreting urine, cycling through the fluid volume every few hours, and is producing meconium, a black, sticky substance that will be their first bowel movement. Meanwhile, the bones in your baby's skeleton, including the longer bones and the skull, are starting to harden, and their teeth and bones are becoming denser. The baby is the size of a peapod.","Cramping - Occasional cramping is common in pregnancy, often due to gas, bloating, or round ligament pain. Easing methods include movement, baths, hydration, or rest, but severe or persistent cramps, especially with other symptoms, warrant medical attention.;Returning Appetite -The second trimester may bring relief from morning sickness and food aversions, along with a return of appetite and possible food cravings, which might be linked to nutritional needs or other factors.;Stuffy Nose - A stuffy nose is common in pregnancy due to hormonal changes and increased blood volume. If accompanied by fever or other infection symptoms, consult a healthcare provider and consider safe cold remedies and vitamin C.;Visible Veins - Increased blood volume during pregnancy makes veins more visible and may lead to varicose veins, especially in the legs and lower body, which typically improve post-birth.;Vaginal Discharge - Increased discharge is normal, caused by higher estrogen levels. However, if the discharge is off-color, painful, or itchy, it could indicate an infection, requiring a healthcare provider's assessment.;Heartburn - Pregnancy can cause heartburn due to hormonal and physical changes. Managing heartburn involves dietary adjustments, eating habits, and possibly safe heartburn medications recommended by a healthcare provider.","Increase Prenatal Visits - During the second trimester, expect to see your healthcare provider every four weeks to monitor the pregnancy's progress and discuss any concerns.;Prioritize Nutrition - Emphasize incorporating healthy foods into your diet to support pregnancy, focusing on protein, healthy fats, and essential vitamins and minerals like folic acid, iron, and calcium.;Be Informed About Complications - Understand the signs of common pregnancy complications such as gestational diabetes and preeclampsia, and communicate any concerns with your healthcare provider.;Adopt Side-Sleeping - Sleeping on your side is recommended to optimize blood flow to the uterus and minimize discomfort, improving both maternal and fetal well-being.;Maintain a Healthy Sex Life: If comfortable, continue sexual activity during pregnancy, which is safe and may even be more enjoyable due to increased blood flow.;Save on Maternity Clothes - Explore affordable options for maternity wear, such as buying secondhand, swapping clothes, or finding deals online to save money.",https://assets.babycenter.com/ims/2018/06/pregnancy-week-13-fingerprints_square.png;https://assets.babycenter.com/ims/2020/12/13-weeks-pregnant-recolored-app.png"
14,"The baby has started to make faces and is making sucking and chewing movements. Hair follicles have started to form deep on the skin. The baby has started to become active and make movements despite the mother not feeling any kicks or punches yet. The baby is the size of a lemon and measures about 5.79 inches and 3.28 ounces in weight.","Reduced morning sickness, Starting to show, Bleeding gums - Pregnancy gingivitis can be caused by hormonal changes that make your gums more sensitive to bacteria in plaque, Round ligament pain - The two ligaments located on the sides of the uterus stretch and thicken to accommodate the growing stomach, Increased appetite","Get your teeth cleaned - Pregnant women are susceptible to gum inflammation, Find a prenatal exercise class - Pregnancy exercise can boost your mood, help you get better sleep, lower risk of complications, and reduce stress","https://assets.babycenter.com/ims/2018/06/pregnancy-week-14-face-muscles_square.png; https://assets.babycenter.com/ims/2020/12/14-weeks-pregnant-recolored-app.png"
15,"Your baby is moving amniotic fluid through their nose and upper respiratory tract, which helps the primitive air sacs in the lungs begin to develop. Your baby's legs are growing longer than their arms now, and they can move all of their joints and limbs. The baby is the size of an apple.","Backaches - Increased weight and shifting center of gravity put pressure on the lower back. Exercises and proper posture can help.;Skin Changes - Darkening of the skin, especially around the nipples, areolas, and navel, is common. The dark line down the belly (linea nigra) may appear.;Frequent Urination - The growing uterus places pressure on the bladder, increasing the need to urinate.;Nasal Congestion - Hormonal changes and increased blood flow to mucous membranes can cause stuffiness.;Varicose Veins - Increased blood volume and pressure can lead to swollen veins, usually in the legs. Support stockings and elevating legs can help.","Consider Maternity Clothes - As your body grows, comfort becomes essential. Look for stretchy and breathable fabrics.;Start Sleeping on Your Side - This position optimizes blood flow to your baby and helps prevent discomfort.;Plan a Babymoon - A second trimester getaway can be a great way to relax before the baby's arrival.;Stay Active - Moderate exercise like walking or swimming can help with energy levels and prevent excessive weight gain.;Monitor Your Weight - Keep track of your weight gain to ensure it’s within the healthy range recommended by your healthcare provider.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-15-ear_square.png; https://assets.babycenter.com/ims/2020/12/15-weeks-pregnant-recolored-app.png"
16,"Your baby's facial muscles are developing, and their tiny facial expressions can be observed through ultrasound. Their eyes are moving closer to the front of their head, and their ears are almost in their final position. Your baby is about the size of an avocado.","Feeling Baby Move - Some women may start to feel flutters of movement (quickening) this week.;Constipation - The hormone progesterone slows down the digestive system, leading to constipation. Fiber-rich foods and plenty of fluids can help.;Dry, Itchy Skin - Skin stretching and hormonal changes can cause dryness and itching. Moisturizing regularly can provide relief.;Nasal Congestion - Hormonal changes can cause your nasal passages to swell, leading to stuffiness or nosebleeds.;Heartburn - The growing uterus can push stomach acid into the esophagus. Smaller, frequent meals and avoiding spicy foods can help.","Schedule Your Mid-Pregnancy Ultrasound - This ultrasound, typically done between 18-22 weeks, checks your baby's growth and development.;Consider Prenatal Yoga - Yoga can help with flexibility, strength, and stress reduction during pregnancy.;Hydrate Well - Aim to drink at least 8-10 glasses of water a day to stay hydrated.;Take Prenatal Vitamins - Continue taking prenatal vitamins to support your baby’s development and your health.;Prepare for Maternity Leave - Start planning for your maternity leave and discuss your plans with your employer.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-16-heart-developmentsquare.png;https://assets.babycenter.com/ims/2020/12/16-weeks-pregnant-recolored-app.png"
17,"Your baby's skeleton is changing from soft cartilage to bone, and the umbilical cord, their lifeline to the placenta, is growing stronger and thicker. Your baby is the size of a turnip.","Swelling (Edema) - Mild swelling of the ankles and feet is common. Elevating your feet and avoiding standing for long periods can help.;Back Pain - The weight of your growing baby can strain your back. Good posture, supportive shoes, and prenatal massage may relieve discomfort.;Round Ligament Pain - The stretching of ligaments can cause sharp pain in the abdomen. Gentle movements and resting can help.;Increased Appetite - As your baby grows, so does your need for nutrients. Eat balanced meals to satisfy hunger.;Varicose Veins - Pressure from the uterus can slow blood flow from your legs, causing varicose veins.","Create a Birth Plan - Start thinking about your preferences for labor and delivery, and discuss them with your healthcare provider.;Plan for Childcare - If you plan to return to work, start researching childcare options and make arrangements.;Stock Up on Essentials - Begin buying baby gear and setting up the nursery.;Practice Kegels - Strengthening your pelvic floor muscles can help with labor and postpartum recovery.;Attend a Prenatal Class - Learn about childbirth, breastfeeding, and newborn care.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-17-skeleton_square.png;https://assets.babycenter.com/ims/2020/12/17-weeks-pregnant-recolored-app.png"
18,"Your baby's ears are now in their final position and stand out from their head. They can hear sounds from the outside world, such as your heartbeat and voice. The baby is the size of a bell pepper.","Leg Cramps - These can be common during the night. Stretching before bed and staying hydrated can help.;Frequent Urination - The growing baby puts pressure on the bladder, leading to more frequent trips to the bathroom.;Dizziness - Hormonal changes can cause your blood vessels to relax and widen, leading to dizziness. Moving slowly and eating small, frequent meals can help.;Skin Changes - Your skin may become more sensitive, and you might notice dark patches on your face (melasma).;Shortness of Breath - As your uterus grows, it can push against your diaphragm, making it harder to breathe deeply.","Schedule a Dental Checkup - Good oral hygiene is important during pregnancy to prevent gum disease.;Update Your Wardrobe - Invest in comfortable maternity clothes as your body changes.;Take a Childbirth Class - Learn about the stages of labor, pain management options, and what to expect during delivery.;Eat Iron-Rich Foods - Include iron-rich foods like lean meats, beans, and spinach to prevent anemia.;Plan a Baby Shower - Start planning or discussing with friends and family about your baby shower.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-18-ears_square.png;https://assets.babycenter.com/ims/2020/12/18-weeks-pregnant-recolored-app.png"
19,"Your baby is developing a protective coating called vernix caseosa, which helps to protect their skin from the amniotic fluid. Your baby’s senses are also developing, with nerve cells for the sense of taste, hearing, sight, and smell forming in the brain. The baby is the size of a tomato.","Heartburn - The expanding uterus can push stomach acids up into the esophagus, causing heartburn. Avoiding large meals and spicy foods can help.;Skin Changes - You might notice a dark line down the center of your abdomen (linea nigra) and dark patches on your face (melasma).;Swelling - Mild swelling in the ankles and feet is normal. Elevate your feet and stay hydrated.;Back Pain - As your belly grows, it can put strain on your back. Good posture and supportive shoes can help.;Varicose Veins - Increased blood flow and pressure on your veins can cause varicose veins. Compression stockings and elevating your legs can help.","Prepare the Nursery - Start setting up your baby's nursery, including the crib, changing table, and decorations.;Choose a Pediatrician - Research and choose a pediatrician for your baby, and schedule a prenatal visit.;Stay Active - Continue moderate exercise, such as walking or swimming, to maintain your health and prepare for labor.;Take a Babymoon - Plan a relaxing trip with your partner before the baby arrives.;Monitor Fetal Movement - Pay attention to your baby's movements and report any significant changes to your healthcare provider.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-19-vernix_square.png;https://assets.babycenter.com/ims/2020/12/19-weeks-pregnant-recolored-app.png"
20,"Your baby is about halfway through pregnancy and is growing rapidly. They are now around 10 inches long from head to toe. The baby is the size of a banana.","Aches and Pains - The added weight and shift in the center of gravity can cause various aches and pains. Stretching and gentle exercise can help.;Stretch Marks - Rapid skin stretching can lead to stretch marks. Moisturizing regularly can help keep the skin supple.;Nasal Congestion - Hormonal changes can cause your nasal passages to swell, leading to stuffiness.;Shortness of Breath - As the baby grows, it can press against your diaphragm, making it harder to breathe deeply.;Swelling - Mild swelling of the ankles and feet is common. Elevating your feet and drinking plenty of water can help.","Get Your Mid-Pregnancy Ultrasound - This ultrasound, typically done between 18-22 weeks, checks your baby's growth and development.;Start Pelvic Floor Exercises - Strengthening your pelvic floor muscles can help with labor and postpartum recovery.;Plan for Breastfeeding - Research breastfeeding techniques and consider taking a breastfeeding class.;Stay Hydrated - Aim to drink at least 8-10 glasses of water a day to stay hydrated.;Prepare for Maternity Leave - Start planning for your maternity leave and discuss your plans with your employer.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-20-hair_square.png;https://assets.babycenter.com/ims/2020/12/20-weeks-pregnant-recolored-app.png"
21,"At 21 weeks of pregnancy, the baby's development includes the presence of taste buds and the ability to suck their thumb. The baby's skin is wrinkled and translucent, appearing red due to visible blood vessels. The baby is approximately the size of a carrot, measuring 10.79 inches and weighing 14.07 ounces.","Varicose veins;Bleeding gums;Clumsiness;Braxton Hicks contractions;Heartburn;Weight gain","Check for signs of pregnancy-related swelling in fingers;Avoid unsafe activities;Review finances to accommodate the upcoming changes;Create a baby registry;Manage stress through various techniques","https://assets.babycenter.com/ims/2018/06/pregnancy-week-21-eyelid_square.png;https://assets.babycenter.com/ims/2020/12/21-weeks-pregnant-recolored-app.png"
